mean_fit_time,mean_test_score,mean_train_score,params
28.236102024714153,0.863159999461174,0.935040126162483,"{'batch_size': 100, 'neurons': 50, 'epochs': 2}"
78.02470827102661,0.8748399996066093,0.9533000311373229,"{'batch_size': 100, 'neurons': 150, 'epochs': 2}"
124.75870490074158,0.8669199997758865,0.934439689099357,"{'batch_size': 100, 'neurons': 250, 'epochs': 2}"
43.98567136128744,0.8657999998044967,0.941039542869046,"{'batch_size': 100, 'neurons': 50, 'epochs': 3}"
112.7426966826121,0.8759200001692772,0.9604199732476918,"{'batch_size': 100, 'neurons': 150, 'epochs': 3}"
184.83660531044006,0.8765199995136261,0.9653000864883637,"{'batch_size': 100, 'neurons': 250, 'epochs': 3}"
56.92456968625387,0.8763199993944168,0.9583399239275501,"{'batch_size': 100, 'neurons': 50, 'epochs': 4}"
148.40470870335898,0.8720799997758866,0.9634000874172215,"{'batch_size': 100, 'neurons': 150, 'epochs': 4}"
237.5684952735901,0.8734400002264977,0.9676799336297116,"{'batch_size': 100, 'neurons': 250, 'epochs': 4}"
26.565114339192707,0.8651600010251999,0.9382001895884509,"{'batch_size': 200, 'neurons': 50, 'epochs': 2}"
60.20095936457316,0.8728000006222725,0.9446400696629031,"{'batch_size': 200, 'neurons': 150, 'epochs': 2}"
94.34925270080566,0.8654800004029274,0.9407002695175116,"{'batch_size': 200, 'neurons': 250, 'epochs': 2}"
34.17683029174805,0.8710800008153915,0.9597597976457494,"{'batch_size': 200, 'neurons': 50, 'epochs': 3}"
85.81896026929219,0.878640000140667,0.9702199984395031,"{'batch_size': 200, 'neurons': 150, 'epochs': 3}"
139.35672863324484,0.8745199994063377,0.9660601331038144,"{'batch_size': 200, 'neurons': 250, 'epochs': 3}"
45.64194424947103,0.8736000010514259,0.9706998609488003,"{'batch_size': 200, 'neurons': 50, 'epochs': 4}"
112.19923369089763,0.876839999268055,0.9773799006589501,"{'batch_size': 200, 'neurons': 150, 'epochs': 4}"
180.3246853351593,0.8771199996590614,0.9752399551126371,"{'batch_size': 200, 'neurons': 250, 'epochs': 4}"
22.792483647664387,0.8580800044083595,0.9137602630735281,"{'batch_size': 500, 'neurons': 50, 'epochs': 2}"
52.126581033070885,0.8695600011730195,0.9265198664414086,"{'batch_size': 500, 'neurons': 150, 'epochs': 2}"
434.9216612974803,0.8383200019192696,0.8855995988781143,"{'batch_size': 500, 'neurons': 250, 'epochs': 2}"
30.410168329874676,0.8727600035572052,0.9579599089275312,"{'batch_size': 500, 'neurons': 50, 'epochs': 3}"
73.02083071072896,0.8744000012993812,0.94559986009941,"{'batch_size': 500, 'neurons': 150, 'epochs': 3}"
111.69783806800842,0.865680001513958,0.9498602509251466,"{'batch_size': 500, 'neurons': 250, 'epochs': 3}"
39.10304498672485,0.8762000029993057,0.9671400113912384,"{'batch_size': 500, 'neurons': 50, 'epochs': 4}"
95.86122433344524,0.8756400032424927,0.9653803153117967,"{'batch_size': 500, 'neurons': 150, 'epochs': 4}"
112.2324767112732,0.8547999982476234,0.9309605047210564,"{'batch_size': 500, 'neurons': 250, 'epochs': 4}"
